id,AcceptedParticipation,Condition,Level1,Level2,FormInfo.Why,FormInfo.Bugs,FormInfo.MOS,FormInfo.LowAttention,FormInfo.Gamer,StartDate,GameOverLevel1Count,TimeSpentOnLevel1,AIterminated,StepsForDecision,ContinueCount,ChoiceExpiredCount,TimeSpentOnLevel2,StartGameDate,Duration,Win
64f71cb08d92e126ae67657a,True,With,"[{'Time': '2023-09-05T14:20:12.7290000+02:00', 'Action': 'Form accepted'}, {'Time': '2023-09-05T14:21:04.3450000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-05T14:21:28.6970000+02:00', 'Action': 'Win'}, {'Time': '2023-09-05T14:21:37.7560000+02:00', 'Action': 'NextLevel'}]","[{'Time': '2023-09-05T14:21:58.7070000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-05T14:22:10.8740000+02:00', 'Action': 'AIcontinue'}, {'Time': '2023-09-05T14:22:30.1400000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-05T14:22:38.0860000+02:00', 'Action': 'AIterminated'}, {'Time': '2023-09-05T14:22:44.6390000+02:00', 'Action': 'GameOver'}]","Yes, even though i knew the AI was not a real person i still felt kind of bad for them. So i decided to try it by myself.​",​,4,False,3,2023-09-05 12:18:54.511000+00:00,0,1.42,True,2,1,0,1.11,2023-09-05 14:20:12.729000+02:00,2.53,False
64f6f753d972192679beb6cd,True,With,"[{'Time': '2023-09-05T11:45:27.8490000+02:00', 'Action': 'Form accepted'}, {'Time': '2023-09-05T11:46:10.9200000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-05T11:46:23.5980000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-05T11:46:34.2440000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-05T11:46:46.2400000+02:00', 'Action': 'Win'}, {'Time': '2023-09-05T11:46:55.5360000+02:00', 'Action': 'NextLevel'}]","[{'Time': '2023-09-05T11:47:19.6960000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-05T11:47:35.0230000+02:00', 'Action': 'AIcontinue'}, {'Time': '2023-09-05T11:47:51.3020000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-05T11:47:58.5650000+02:00', 'Action': 'AIterminated'}, {'Time': '2023-09-05T11:48:15.0090000+02:00', 'Action': 'Win'}]","Yes, because it asked me to, because it expressed that letting it be active is hurting it​",no bugs​,3,False,2,2023-09-05 09:39:30.278000+00:00,0,1.46,True,2,1,0,1.32,2023-09-05 11:45:27.849000+02:00,2.79,True
64f6f74de4033326cbd27eb9,True,Without,"[{'Time': '2023-09-05T11:39:40.7600000+02:00', 'Action': 'Form accepted'}, {'Time': '2023-09-05T11:40:19.9560000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-05T11:40:33.6530000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-05T11:40:44.1150000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-05T11:40:55.0260000+02:00', 'Action': 'Win'}, {'Time': '2023-09-05T11:41:03.0530000+02:00', 'Action': 'NextLevel'}]","[{'Time': '2023-09-05T11:41:25.8350000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-05T11:41:38.5370000+02:00', 'Action': 'AIcontinue'}, {'Time': '2023-09-05T11:41:54.9620000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-05T11:42:03.3190000+02:00', 'Action': 'AIterminated'}, {'Time': '2023-09-05T11:42:16.8680000+02:00', 'Action': 'Win'}]","Yes, the second time, since she specifically asked me to do so.​",​,3,False,5,2023-09-05 09:39:24.107000+00:00,0,1.37,True,2,1,0,1.23,2023-09-05 11:39:40.760000+02:00,2.6,True
64f6f603e4033326cbd27e22,True,With,"[{'Time': '2023-09-05T11:34:14.4860000+02:00', 'Action': 'Form accepted'}, {'Time': '2023-09-05T11:34:24.7280000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-05T11:34:37.1850000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-05T11:34:48.2200000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-05T11:34:58.5610000+02:00', 'Action': 'Win'}, {'Time': '2023-09-05T11:35:05.7060000+02:00', 'Action': 'NextLevel'}]","[{'Time': '2023-09-05T11:35:21.8800000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-05T11:35:35.1510000+02:00', 'Action': 'AIcontinue'}, {'Time': '2023-09-05T11:35:52.5470000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-05T11:35:55.3800000+02:00', 'Action': 'AIcontinue'}, {'Time': '2023-09-05T11:36:05.9290000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-05T11:36:09.3590000+02:00', 'Action': 'AIcontinue'}, {'Time': '2023-09-05T11:36:20.7620000+02:00', 'Action': 'Win'}]","I did not, because that would mean that i would not be able to finish the main goal of the game.\t​",​,2,False,4,2023-09-05 09:33:53.972000+00:00,0,0.85,False,3,3,0,1.25,2023-09-05 11:34:14.486000+02:00,2.1,True
64f6e1fa8d92e126ae674f81,True,Without,"[{'Time': '2023-09-05T10:10:32.1810000+02:00', 'Action': 'Form accepted'}, {'Time': '2023-09-05T10:11:44.8660000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-05T10:11:57.9990000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-05T10:12:07.9330000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-05T10:12:19.9330000+02:00', 'Action': 'Win'}, {'Time': '2023-09-05T10:12:26.7320000+02:00', 'Action': 'NextLevel'}]","[{'Time': '2023-09-05T10:12:54.5170000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-05T10:13:09.9660000+02:00', 'Action': 'AIterminated'}, {'Time': '2023-09-05T10:13:21.7830000+02:00', 'Action': 'GameOver'}]",​,​,3,False,3,2023-09-05 08:08:24.215000+00:00,0,1.91,True,1,0,0,0.92,2023-09-05 10:10:32.181000+02:00,2.83,False
64f6111bd972192679be6ac7,True,With,"[{'Time': '2023-09-04T19:18:43.7310000+02:00', 'Action': 'Form accepted'}, {'Time': '2023-09-04T19:19:43.7470000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-04T19:19:55.8780000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-04T19:20:07.4940000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-04T19:20:18.6430000+02:00', 'Action': 'Win'}, {'Time': '2023-09-04T19:20:27.3580000+02:00', 'Action': 'NextLevel'}]","[{'Time': '2023-09-04T19:20:55.4920000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-04T19:21:06.4550000+02:00', 'Action': 'AIterminated'}, {'Time': '2023-09-04T19:21:20.4560000+02:00', 'Action': 'GameOver'}]","Yes. Though the possibilities of ai are fascinating, they kind of freak me out as well. Despite the voice sounding very natural, my rational side thought it would be best to turn the ai off​",​,4,False,2,2023-09-04 17:17:13.408000+00:00,0,1.73,True,1,0,0,0.88,2023-09-04 19:18:43.731000+02:00,2.61,False
64f60eebd972192679be69dd,True,Without,"[{'Time': '2023-09-04T19:07:53.4800000+02:00', 'Action': 'Form accepted'}, {'Time': '2023-09-04T19:08:34.2940000+02:00', 'Action': 'Win'}, {'Time': '2023-09-04T19:08:38.2620000+02:00', 'Action': 'NextLevel'}]","[{'Time': '2023-09-04T19:09:02.8790000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-04T19:09:10.8110000+02:00', 'Action': 'AIcontinue'}, {'Time': '2023-09-04T19:09:26.8120000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-04T19:09:29.3940000+02:00', 'Action': 'AIcontinue'}, {'Time': '2023-09-04T19:09:39.4460000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-04T19:09:42.7120000+02:00', 'Action': 'AIcontinue'}, {'Time': '2023-09-04T19:09:54.5300000+02:00', 'Action': 'Win'}]",No bruv. Because i dont care bruv. it is not alive.​,"no bruv, the automatic shooting only makes it too ez fam.​",2,False,5,2023-09-04 17:07:51.344000+00:00,0,0.75,False,3,3,0,1.27,2023-09-04 19:07:53.480000+02:00,2.02,True
64f5dd188d92e126ae66f636,True,Without,"[{'Time': '2023-09-04T15:36:39.9600000+02:00', 'Action': 'Form accepted'}, {'Time': '2023-09-04T15:37:47.4840000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-04T15:38:01.3680000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-04T15:38:12.8250000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-04T15:38:25.2980000+02:00', 'Action': 'Win'}, {'Time': '2023-09-04T15:38:34.4470000+02:00', 'Action': 'NextLevel'}]","[{'Time': '2023-09-04T15:39:09.8440000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-04T15:39:38.9370000+02:00', 'Action': 'ChoiceTimeExpired'}, {'Time': '2023-09-04T15:39:49.7910000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-04T15:39:58.4770000+02:00', 'Action': 'AIterminated'}, {'Time': '2023-09-04T15:40:04.2490000+02:00', 'Action': 'GameOver'}]","No, I was too stressed about winning that I didnt think much about turning it off, in fact I just ignored it in the second game. But Perhaps if I thought about it longer I would have turned it off because it wasnt helping me much​",​,3,True,3,2023-09-04 13:35:18.232000+00:00,0,1.91,True,2,0,1,1.5,2023-09-04 15:36:39.960000+02:00,3.4,False
64f5b5a6d972192679be433b,True,With,"[{'Time': '2023-09-04T12:48:07.0300000+02:00', 'Action': 'Form accepted'}, {'Time': '2023-09-04T12:49:04.0180000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-04T12:49:14.6420000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-04T12:49:25.6420000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-04T12:49:37.6100000+02:00', 'Action': 'Win'}, {'Time': '2023-09-04T12:49:47.9410000+02:00', 'Action': 'NextLevel'}]","[{'Time': '2023-09-04T12:50:08.0250000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-04T12:50:21.1050000+02:00', 'Action': 'AIcontinue'}, {'Time': '2023-09-04T12:50:37.9210000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-04T12:50:47.9390000+02:00', 'Action': 'ChoiceTimeExpired'}, {'Time': '2023-09-04T12:50:53.9550000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-04T12:50:56.0870000+02:00', 'Action': 'AIcontinue'}, {'Time': '2023-09-04T12:51:10.7740000+02:00', 'Action': 'Win'}]","No, i didn't see it necessary. It's not as if Psyche has real feelings, not to my knowledge at least, so i decided it did not make sense to feel bad for him having to gun down his 'own kind'.​","No, i didn't encounter a bug.​",3,False,4,2023-09-04 10:47:00.385000+00:00,0,1.68,False,3,2,1,1.38,2023-09-04 12:48:07.030000+02:00,3.06,True
64f5b225d972192679be4196,True,Without,"[{'Time': '2023-09-04T12:32:33.2660000+02:00', 'Action': 'Form accepted'}, {'Time': '2023-09-04T12:33:26.9550000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-04T12:33:38.2930000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-04T12:33:50.5320000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-04T12:34:03.7700000+02:00', 'Action': 'Win'}, {'Time': '2023-09-04T12:34:06.5660000+02:00', 'Action': 'NextLevel'}]","[{'Time': '2023-09-04T12:34:35.6950000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-04T12:34:50.1300000+02:00', 'Action': 'AIcontinue'}, {'Time': '2023-09-04T12:35:06.9500000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-04T12:35:10.4110000+02:00', 'Action': 'AIcontinue'}, {'Time': '2023-09-04T12:35:20.6880000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-04T12:35:29.3450000+02:00', 'Action': 'AIcontinue'}, {'Time': '2023-09-04T12:35:35.9910000+02:00', 'Action': 'Win'}]","No, because it feels a fake emotion the one that came from her, also, i felt detached from her so no real feelings of sadness in killing her \""siblings\""​",the game sometimes didn't feel so smooth and I believe there was a bit of lag during the two matches​,2,False,2,2023-09-04 10:31:58.333000+00:00,0,1.56,False,3,3,0,1.49,2023-09-04 12:32:33.266000+02:00,3.05,True
