10.403408	10.826105	IM
17.780959	18.289118	IM
20.926496	21.312145	IM
22.618158	23.232782	IM
26.913191	27.189022	IM
29.332924	29.836916	IM
31.579374	32.258534	IM
41.926259	42.300601	IM
44.150104	44.552732	IM
50.222574	50.680299	IM
56.372191	56.817201	IM
61.046916	61.589405	IM
68.874963	69.376654	IM
71.800843	72.081200	IM
75.438104	75.925039	IM
80.978839	81.207551	IM
90.016655	90.769192	IM
95.667420	96.022553	IM
98.675476	99.151881	IM
109.292954	109.965526	IM
114.007789	114.535105	IM
120.561569	121.002792	IM
125.464755	125.896557	IM
134.664903	135.370180	IM
138.349620	138.695062	IM
139.888712	140.326794	IM
143.538085	145.004875	IEP
151.986794	152.366204	IM
155.183600	156.011588	IM
164.687969	164.921205	IM
166.192341	166.507210	IM
169.795838	170.273972	IM
173.201084	174.017410	IP
182.810409	183.451808	IM
191.801659	192.279792	IM
194.705447	195.206905	IM
199.066961	199.789993	IM
205.014480	205.690865	IM
210.641567	211.148740	IM
218.106085	218.526931	IM
224.472729	224.710129	IM
226.781986	227.461814	IM
231.605527	232.004791	IM
232.997556	233.191792	IM
236.040595	236.515396	IM
