0.000000	1.280547	IP
6.580742	7.046031	IM
10.027616	10.493303	IM
16.800543	17.335315	IM
22.982406	23.486473	IM
27.488308	28.284070	IP
33.743802	34.183717	IM
38.541192	39.013522	IM
43.722928	44.431423	IM
51.006001	51.871758	IM
58.208365	58.429409	IM
61.966120	62.463470	IM
66.884359	67.823797	IM
76.039282	76.647154	IM
83.002181	83.554792	IM
92.617614	93.022862	IM
95.454351	95.896439	IM
105.382929	105.696076	IM
110.061703	110.559053	IP
117.135124	117.724576	IM
121.261287	121.666535	IM
125.811118	126.455831	IM
132.479292	133.124004	IM
140.307948	141.007922	IM
145.005142	145.484072	IM
151.047023	151.599634	IM
155.560014	156.094204	IM
159.501972	160.128265	IM
164.935981	165.341229	IM
171.714677	173.169886	IP
182.048504	182.619535	IM
186.414131	186.708857	IM
190.061364	190.650816	IM
194.629616	195.384851	IM
200.689917	201.003063	IM
207.155466	207.523874	IM
211.060584	211.428992	IM
213.271029	213.731538	IM
220.049724	220.639176	IM
225.870561	226.478433	IM
230.715118	231.488773	IM
239.372691	239.833200	IM
